geneID	patricID	transcriptID	function	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C	l2fc_32_12	adjP_32_12	l2fc_32_72	adjP_32_72
RUMHYD_00176	fig|476272.21.peg.3182	EEG50882	"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"	5.005131	5.300553	6.556113	229.012706	295.551827	311.325758	16.078903	24.457677	41.090769	-4.872879872	2.90E-37	-2.787408802	4.93E-10
RUMHYD_00175	fig|476272.21.peg.3181	EEG50881	"N-Acetyl-D-glucosamine ABC transport system, permease protein"	7.241575	6.624643	5.60523	205.51892	211.317397	262.070354	11.031312	25.014175	17.709019	-4.363671593	2.77E-33	-3.031279073	1.59E-10
RUMHYD_01999	fig|476272.21.peg.1432	EEG49071	Aspartate transaminase (EC 2.6.1.1)	0.480683	1.431639	1.117987	128.211502	220.089684	414.986626	91.223088	386.613411	53.238871	-7.181154536	5.18E-33	0.173059933	0.864013241
RUMHYD_02116	fig|476272.21.peg.1546	EEG48996	Arogenate dehydrogenase (EC 1.3.1.43)	23.0899	16.392325	22.540645	809.729853	1757.481349	2080.799571	134.417383	253.312947	123.20283	-5.499872533	5.54E-33	-2.485887074	2.17E-05
RUMHYD_01997	fig|476272.21.peg.1430	EEG49069	Aspartate racemase (EC 5.1.1.13)	0.463721	1.560325	1.209309	154.899557	249.814652	519.241394	149.705621	549.338851	73.282981	-7.311054407	3.85E-31	0.430059897	0.646071999
RUMHYD_01998	fig|476272.21.peg.1431	EEG49070	Proton/glutamate symporter @ Sodium/glutamate symporter	0.800981	0.954398	0.095595	127.64255	182.977428	434.575858	80.200353	240.699286	35.856799	-7.871361478	3.17E-28	-0.313463363	0.741846976
RUMHYD_03629	fig|476272.21.peg.308	EEG47484	"Formate dehydrogenase-O, major subunit (EC 1.2.1.2)"	10.957621	6.241695	11.220502	0.92593	0.508172	0.645257	5.632368	6.585372	26.980096	4.45899057	5.94E-27	4.73586485	1.72E-14
RUMHYD_00911	fig|476272.21.peg.3920	EEG50163	"Uncharacterized transcriptional regulator YozG, Cro/CI family"	778.812914	376.793187	1010.307066	61.639905	38.827263	56.756979	42.503312	83.454096	191.548913	4.753041311	1.92E-26	1.360006828	0.089297699
RUMHYD_00262	fig|476272.21.peg.3268	EEG50809	"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-dependent"	10697.28316	10066.19278	11950.13535	2043.218691	2128.983891	1691.27885	1017.6858	1456.644998	1113.146142	3.429850198	1.77E-25	-0.14344173	0.823950967
RUMHYD_02089	fig|476272.21.peg.1518	EEG49018	hypothetical protein	5.744397	12.206252	9.308989	711.022953	315.354554	555.827608	15.371505	30.579357	13.393172	-5.058118529	2.99E-24	-3.983274345	7.34E-13
RUMHYD_00291	fig|476272.21.peg.3297	EEG50776	KH domain RNA binding protein YlqC	637.498905	304.503025	665.662462	37.536947	11.144839	31.69001	100.488927	86.526636	70.858797	5.314322336	3.29E-24	2.373073168	0.006439179
RUMHYD_01985	fig|476272.21.peg.2025	EEG49174	hypothetical protein	75140.3291	55683.58451	57792.80238	4298.173719	956.760017	3511.379825	1432.449883	1127.527855	1220.664755	5.39380119	8.40E-24	-0.531670681	0.485377215
RUMHYD_01983	fig|476272.21.peg.2023	EEG49172	hypothetical protein	3150.440704	2597.795425	1882.545576	237.506577	294.548908	308.200944	309.48505	265.710163	394.47394	4.078500061	1.21E-23	0.770328503	0.248657472
RUMHYD_01848	fig|476272.21.peg.2228	EEG49193	Cysteine synthase (EC 2.5.1.47)	1697.742342	653.871954	1076.409788	102.72205	35.796322	40.743893	603.771356	309.963927	250.874228	4.986062812	7.68E-23	3.660500652	1.23E-07
RUMHYD_02115	fig|476272.21.peg.1545	EEG48995	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	22.315153	9.285459	11.714834	366.747165	912.688286	866.966589	111.861393	255.840778	100.115268	-4.960317584	8.35E-23	-1.508411288	0.016858437
RUMHYD_00524	fig|476272.21.peg.3529	EEG50538	"Transcriptional regulator, PadR family"	435.794774	406.525702	967.410006	48.702747	28.029292	50.939469	4.5796	82.005195	56.79543	4.783554644	1.11E-22	0.507080109	0.644613442
RUMHYD_02120	fig|476272.21.peg.1551	EEG49000	Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51)	62.647071	84.78318	89.659869	1999.216671	2700.433801	4500.216511	180.785287	536.567948	177.886524	-4.520169361	1.18E-22	-2.673869066	9.10E-06
RUMHYD_01291	fig|476272.21.peg.2639	EEG49787	"PTS system, trehalose-specific IIB component (EC 2.7.1.201) / PTS system, trehalose-specific IIC component"	202.1234	286.972424	263.33041	25.158424	27.714706	16.68031	108.375297	84.050238	45.123483	4.169767289	1.91E-22	2.671908101	3.57E-05
RUMHYD_02117	fig|476272.21.peg.1547	EEG48997	3-dehydroquinate synthase (EC 4.2.3.4)	23.176291	9.677476	16.435039	379.394434	774.759631	976.893292	143.412165	165.053436	92.496947	-4.755328403	1.91E-22	-1.611283736	0.009734204
RUMHYD_00166	fig|476272.21.peg.3171	EEG50872	Iron-sulfur cluster-binding protein	187.291603	100.678318	144.967083	2967.103865	5291.285473	3369.816202	303.034019	846.003116	276.323811	-4.06903633	2.28E-22	-2.355263822	9.30E-05
RUMHYD_01202	fig|476272.21.peg.2548	EEG49871	SSU ribosomal protein S20p	11210.31866	21139.95459	25181.14756	2215.246114	1152.57691	1643.378099	932.417773	1042.824175	773.070324	4.579333104	2.28E-22	-0.213738953	0.750861236
RUMHYD_02721	fig|476272.21.peg.852	EEG48382	"Efflux ABC transporter, permease/ATP-binding protein BLi02169"	289.98448	184.579293	280.760352	34.896585	18.268356	14.832949	97.267824	154.354578	89.906942	4.181044241	3.40E-22	3.086850957	2.59E-08
RUMHYD_00165	fig|476272.21.peg.3170	EEG50871	hypothetical protein	126.988352	116.552577	118.057658	2310.46513	4568.163386	3173.830781	308.438951	665.872478	228.670131	-4.060120445	4.23E-22	-2.36015239	9.61E-05
RUMHYD_01846	fig|476272.21.peg.2226	EEG49237	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	1745.049889	787.954974	673.486185	93.344315	42.367271	26.692208	93.585998	331.467054	160.72544	5.322591708	5.22E-22	2.355297521	0.002752842
RUMHYD_03470	fig|476272.21.peg.146	EEG47645	hypothetical protein	9984.021541	3945.551808	6988.587148	454.789105	82.624203	196.302148	97.306302	134.803233	139.379178	5.558899214	1.77E-21	-0.25560118	0.744839904
RUMHYD_03404	fig|476272.21.peg.78	EEG47697	hypothetical protein	2161.604707	1550.411013	2061.743664	457.735087	447.1008	300.17019	778.206098	390.201802	246.529474	3.225744206	2.02E-21	1.087687993	0.146404296
RUMHYD_01816	fig|476272.21.peg.2193	EEG49268	Elongation factor G-like protein TM_1651	35.896925	37.806781	33.849202	619.549676	527.520122	550.848397	55.531875	102.55693	62.898682	-3.252428767	2.59E-21	-2.225467656	2.52E-06
RUMHYD_03402	fig|476272.21.peg.76	EEG47695	hypothetical protein	531.992588	296.724988	406.586207	76.160784	74.679799	63.051238	114.355302	119.028851	101.106072	3.23663934	9.77E-21	1.416643377	0.00700556
RUMHYD_00167	fig|476272.21.peg.3172	EEG50873	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)	284.318956	168.631845	215.019245	3972.613048	7480.320136	4720.440124	478.676953	959.221118	329.716594	-3.919137372	1.23E-20	-2.466059548	4.64E-05
RUMHYD_01707	fig|476272.21.peg.2077	EEG49375	hypothetical protein	228.398892	91.354681	121.031579	17.112283	17.525334	18.834032	53.024533	29.868366	85.277543	3.836972798	4.82E-20	2.28269243	0.000227995
RUMHYD_02875		EEG48244		1575.205828	388.135479	754.873516	81.992561	50.590261	76.428107	431.272434	537.917131	401.478865	4.538997041	1.79E-19	3.387775161	3.62E-11
RUMHYD_02118	fig|476272.21.peg.1548	EEG48998	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	53.036086	34.748636	51.830213	748.857141	1245.484234	2006.80616	238.28043	396.765513	213.490547	-4.137816477	3.51E-19	-1.493759888	0.011155853
RUMHYD_00926	fig|476272.21.peg.3936	EEG50156	SSU ribosomal protein S15p (S13e)	10375.03305	8500.580814	13058.43921	1346.754084	462.773206	1290.008743	1176.655636	1499.445497	717.417849	4.376228099	4.01E-19	0.797729222	0.258345437
RUMHYD_02665	fig|476272.21.peg.795	EEG48448	hypothetical protein	717.608527	291.297407	659.153636	90.690166	77.958299	72.954989	49.713098	54.051423	75.488907	3.583935468	6.61E-19	0.201952414	0.749197497
RUMHYD_02612	fig|476272.21.peg.740	EEG48512	His repressor	11895.67749	13456.67742	11632.25181	3076.857239	1665.944514	2140.969691	548.853088	736.570701	408.664889	3.45437469	7.38E-19	-1.355362259	0.01599027
RUMHYD_00030	fig|476272.21.peg.3035	EEG50973	hypothetical protein	196.78784	68.495431	116.878278	17.703489	12.613166	15.520606	3.400839	8.631926	35.476118	3.894062729	1.18E-18	0.357254789	0.757636081
RUMHYD_01230	fig|476272.21.peg.2576	EEG49849	hypothetical protein	27.826946	18.452187	26.843159	4.980445	3.523988	5.08008	9.205506	16.512339	31.515557	3.144564598	6.35E-18	2.624079296	6.59E-07
RUMHYD_02976	fig|476272.21.peg.1111	EEG48112	hypothetical protein	512.394313	204.078624	495.566349	48.098447	26.290729	55.582984	24.307725	55.292485	65.183838	3.947133304	1.48E-17	0.733499591	0.188107498
RUMHYD_03632	fig|476272.21.peg.311	EEG47487	hypothetical protein	69.803913	74.066942	94.08925	11.408116	6.399752	13.749972	8.886827	24.767857	37.764963	3.73347775	1.79E-17	1.661735324	0.015746029
RUMHYD_00914	fig|476272.21.peg.3924	EEG50144	DNA topoisomerase IV subunit B (EC 5.99.1.3)	216.696001	162.152032	212.894924	41.122079	47.231592	37.029547	31.862674	61.88886	49.862011	2.93320947	2.46E-17	0.852293463	0.084505136
RUMHYD_01407	fig|476272.21.peg.2757	EEG49594	hypothetical protein	119.940926	52.326116	60.023814	13.454415	7.819109	7.838502	3.168192	5.731456	26.953901	3.726904645	2.63E-17	0.689486165	0.449916885
RUMHYD_03721	fig|476272.21.peg.400	EEG47401	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	780.632023	524.399286	500.191438	7847.272616	8865.911007	7176.571987	1602.211841	2332.860751	989.719948	-3.021881047	2.96E-17	-1.490808749	0.01007657
RUMHYD_03742	fig|476272.21.peg.425	EEG47352	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	14.322877	22.447053	15.895569	588.845766	345.147955	328.951143	53.100467	76.91095	52.691728	-3.7899729	3.44E-17	-2.044113588	7.53E-05
RUMHYD_00163	fig|476272.21.peg.3168	EEG50869	hypothetical protein	86.075737	87.221675	102.751776	1763.579458	5111.212855	2266.570036	420.757512	527.917382	217.530798	-4.326278969	4.84E-17	-2.19353036	0.001174958
RUMHYD_01139	fig|476272.21.peg.2486	EEG49940	[FeFe]-hydrogenase maturation protein HydG	40.361668	46.117191	43.062852	685.002943	476.924325	665.918442	60.317443	112.597287	59.824464	-3.067054148	5.62E-17	-2.238400673	8.38E-06
RUMHYD_01909	fig|476272.21.peg.1953	EEG49104	hypothetical protein	96.895168	102.453909	59.120532	9.32944	3.774847	5.664891	11.980307	0	37.741623	4.817874298	6.62E-17	1.846119886	0.364117431
RUMHYD_02121	fig|476272.21.peg.1552	EEG49001	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	31.168829	8.311378	19.56941	595.505637	385.085447	1012.443615	51.088457	128.941029	62.326482	-4.403427248	9.81E-17	-2.340965203	3.17E-05
RUMHYD_02477	fig|476272.21.peg.1906	EEG48622	"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-dependent"	2343.993503	4083.764124	3409.738976	497.679333	155.148221	368.977341	88.136971	193.267548	122.468131	4.346350622	1.08E-16	-0.797454443	0.253059138
RUMHYD_01176	fig|476272.21.peg.2523	EEG49882	hypothetical protein	14.841936	10.285183	15.938516	1.637583	2.059426	2.537222	4.118702	6.704724	39.599996	3.437281824	2.22E-16	3.379733189	1.55E-05
RUMHYD_01070	fig|476272.21.peg.2415	EEG49990	hypothetical protein	157.209822	78.50798	144.815635	22.15963	7.420599	9.020552	7.971202	11.186381	20.495271	4.093268759	2.49E-16	0.622932839	0.464925096
RUMHYD_03572	fig|476272.21.peg.252	EEG47525	Putative manganese efflux pump MntP	90.732739	40.405364	69.1612	9.419709	7.859061	13.461843	9.466695	1.768491	57.369402	3.474411716	1.94E-15	1.528012933	0.145470505
RUMHYD_00014	fig|476272.21.peg.3021	EEG50957	hypothetical protein	0.832705	1.516531	0.317686	36.684918	38.093538	45.0784	0.628651	5.458108	6.123894	-4.687159687	2.39E-15	-2.862468271	1.06E-05
RUMHYD_00162	fig|476272.21.peg.3167	EEG50868	hypothetical protein	70.728957	57.918072	62.326755	1203.672175	4346.454006	1380.195779	359.296912	541.947328	204.915566	-4.484287281	5.50E-15	-1.909669997	0.008278908
RUMHYD_03534	fig|476272.21.peg.210	EEG47635	hypothetical protein	2.795351	5.066537	5.089044	71.980789	89.710522	90.285366	10.658054	9.281413	12.671702	-3.530416181	8.57E-15	-2.204426788	1.23E-05
RUMHYD_03465	fig|476272.21.peg.141	EEG47662	hypothetical protein	7175.835932	4533.167594	6139.61214	1211.217432	247.141742	454.203281	1726.338301	1358.021665	1317.899929	4.270037358	9.84E-15	1.931772717	0.004838756
RUMHYD_02956	fig|476272.21.peg.1091	EEG48147	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	1.821498	3.151832	4.101281	383.955813	47.239682	243.986336	13.369254	16.829942	18.486193	-5.33542391	1.07E-14	-3.097032575	1.45E-05
RUMHYD_03776	fig|476272.21.peg.458	EEG47346	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	127.338	44.499407	71.960923	13.15928	4.264648	5.652166	4.090052	9.038528	28.302121	4.110381345	1.21E-14	1.287997233	0.104760652
RUMHYD_00295	fig|476272.21.peg.3301	EEG50780	LSU ribosomal protein L19p	4957.761273	7253.196111	6370.862769	858.73404	389.456856	1117.697719	769.137052	1072.243335	812.022973	3.942817305	1.35E-14	0.781865169	0.20757124
RUMHYD_00590	fig|476272.21.peg.3597	EEG50424	hypothetical protein	929.669271	2724.825035	2607.714505	158.991102	14.593392	51.01831	58.710612	27.675009	88.765871	5.703992415	1.35E-14	0.307894844	0.853821819
RUMHYD_00958	fig|476272.21.peg.2304	EEG50070	6-phosphofructokinase (EC 2.7.1.11)	816.361769	1125.6989	1275.452349	189.127051	104.365863	218.159839	44.291499	86.356442	46.401292	3.437481732	1.35E-14	-0.807084072	0.169423146
RUMHYD_03211	fig|476272.21.peg.1334	EEG47927	"Anthranilate synthase, aminase component (EC 4.1.3.27)"	7.634466	7.904154	8.740734	1.139796	1.635201	1.205197	2.719219	7.227964	29.302556	3.331266864	1.35E-14	3.660849346	1.06E-06
RUMHYD_02738	fig|476272.21.peg.868	EEG48375	hypothetical protein	630.693651	860.911961	718.63608	52.835445	119.032562	26.368983	50.500414	30.855932	64.570194	4.47253343	1.68E-14	0.124249551	0.929945333
RUMHYD_00339	fig|476272.21.peg.3346	EEG50726	"Bifurcating [FeFe] hydrogenase, beta subunit (EC 1.12.1.4)"	20.412333	16.922659	21.658836	176.207957	199.767172	212.588772	33.873758	79.859452	49.35066	-2.613045662	2.58E-14	-1.18821432	0.015697788
RUMHYD_02664	fig|476272.21.peg.794	EEG48447	hypothetical protein	1605.076349	827.832953	1475.877974	171.649546	43.617992	166.98022	53.825558	57.928225	102.692376	4.098238838	3.05E-14	-0.160409922	0.838292656
RUMHYD_00552	fig|476272.21.peg.3557	EEG50509	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, delta subunit, ferredoxin-like 4Fe-4S binding protein (EC 1.2.7.-)"	0	0	3.205931	5393.693908	7166.258703	6739.713632	345.853877	579.429747	250.648	-11.70242252	3.09E-14	-3.445486905	4.91E-10
RUMHYD_03368	fig|476272.21.peg.40	EEG47721	"Transcriptional regulator, Xre family"	9.665546	4.65526	6.402212	98.820766	81.640182	75.130486	6.045669	9.911336	10.572711	-2.91699093	3.12E-14	-2.628251854	3.21E-08
RUMHYD_01847	fig|476272.21.peg.2227	EEG49192	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	1385.474149	590.435801	731.56832	117.704139	75.904812	25.941133	253.231073	458.493267	263.87475	4.325876088	3.24E-14	2.862487516	5.90E-06
RUMHYD_00802	fig|476272.21.peg.3807	EEG50273	hypothetical protein	14.908987	15.198285	19.156153	278.59217	152.590841	198.793271	8.199438	7.070914	17.097973	-2.95878984	3.30E-14	-3.613890355	8.32E-14
RUMHYD_02935	fig|476272.21.peg.1069	EEG48177	"Cysteine desulfurase (EC 2.8.1.7), associated with tRNA 4-thiouridine synthase"	329.690474	216.486579	309.223879	89.842248	65.9383	86.020816	42.225718	72.421324	54.052493	2.546718296	5.45E-14	0.17961974	0.762257597
RUMHYD_03782	fig|476272.21.peg.464	EEG47339	LSU ribosomal protein L34p	314.243519	634.276413	334.132013	56.724564	16.693107	24.84404	0	0	0	4.571754523	7.84E-14	-3.93365555	0.226738523
RUMHYD_02720	fig|476272.21.peg.851	EEG48381	"Efflux ABC transporter, permease/ATP-binding protein BLi02168"	208.646425	153.762821	191.282392	45.692918	33.592736	19.635705	71.924061	96.475149	90.202105	3.18693097	8.07E-14	2.101751009	5.72E-05
RUMHYD_03828	fig|476272.21.peg.512	EEG47294	"Sialic acid utilization regulator, RpiR family"	3.345316	3.411601	2.544397	38.924227	174.151209	135.064731	10.547212	9.171765	8.164153	-4.48408766	9.66E-14	-2.885104379	4.64E-05
RUMHYD_01363	fig|476272.21.peg.2711	EEG49683	SAM-dependent methyltransferase	786.959109	299.295257	340.152954	84.149722	76.383878	63.296879	21.744035	34.039451	58.104694	3.603657581	1.02E-13	-0.546877009	0.632306286
RUMHYD_02119	fig|476272.21.peg.1549	EEG48999	Chorismate synthase (EC 4.2.3.5)	110.147697	52.062174	88.596324	949.881594	1154.458041	2022.789438	153.667807	403.75932	152.09673	-3.342334258	1.18E-13	-1.843731155	0.001833585
RUMHYD_00340	fig|476272.21.peg.3347	EEG50727	"Bifurcating [FeFe] hydrogenase, alpha subunit (EC 1.12.1.4)"	28.137204	17.150555	26.161979	222.970438	196.782225	236.251635	22.917145	43.210821	44.832274	-2.502421352	2.01E-13	-1.926210238	2.94E-06
RUMHYD_01235	fig|476272.21.peg.2580	EEG49854	"Maltodextrin ABC transporter, ATP-binding protein MsmX"	94.304919	120.104397	118.633301	1510.738748	1515.666465	3376.318907	142.890338	298.790002	101.764574	-3.500415105	2.04E-13	-2.803297076	4.46E-06
RUMHYD_02845	fig|476272.21.peg.979	EEG48214	"Phage terminase, large subunit"	2341.122403	2013.792556	1719.588868	655.489915	432.988497	410.266022	1216.788717	1924.017867	1081.506421	2.759065393	2.18E-13	2.248189397	1.42E-05
RUMHYD_02084	fig|476272.21.peg.1513	EEG49013	"ABC transporter, ATP-binding protein"	9.14398	5.023209	7.168189	1785.865041	105.056752	274.180624	14.198446	37.439606	56.974696	-5.871218745	2.21E-13	-3.760925486	6.04E-06
RUMHYD_02397	fig|476272.21.peg.1831	EEG48680	hypothetical protein	1750.144961	1889.993921	2314.280411	688.556366	692.428163	395.291514	53.746971	191.314705	86.696166	2.798766244	2.21E-13	-1.923812129	0.001409942
RUMHYD_00324	fig|476272.21.peg.3331	EEG50711	Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	23.968216	18.354938	21.293696	238.117444	176.355152	200.847211	24.325896	27.534186	33.781806	-2.484395325	2.28E-13	-2.168270302	4.52E-06
RUMHYD_00513	fig|476272.21.peg.3518	EEG50527	hypothetical protein	134.135497	187.976781	231.349553	43.667093	29.951662	45.43647	45.400607	55.322432	42.745899	3.14590917	6.52E-13	0.934478739	0.172297904
RUMHYD_03853	fig|476272.21.peg.539	EEG47259	"Transcriptional regulator, AsnC family"	3387.571927	4445.954016	3651.644348	1264.558949	722.65195	862.510679	202.136996	418.238601	222.115937	2.925471382	6.56E-13	-1.108906014	0.041258669
RUMHYD_03518	fig|476272.21.peg.194	EEG47619	Uncharacterized glycosyltransferase YcjM	18.88111	13.220477	15.52312	3.600596	1.033893	2.160883	2.767703	4.050578	30.272675	3.53919839	1.07E-12	2.836632725	0.000776761
RUMHYD_02110		EEG48990		2159.927123	2606.616006	3162.358112	647.768066	180.517989	270.699271	513.297868	544.133226	536.29106	3.720929794	1.10E-12	1.281093861	0.036345903
RUMHYD_03679		EEG47427		65.882897	336.210999	372.16046	13.739802	10.55134	24.364744	35.835377	22.446004	86.257026	4.956146681	1.78E-12	2.02425018	0.097869996
RUMHYD_02095	fig|476272.21.peg.1525	EEG48975	"ABC transporter-coupled two-component system, fused permease protein"	2.786315	2.654397	2.36199	27.456513	111.154789	64.882364	8.03415	6.226526	8.021762	-4.020331112	1.78E-12	-2.444913324	0.00026819
RUMHYD_03305	fig|476272.21.peg.583	EEG47755	SOS-response repressor and protease LexA (EC 3.4.21.88)	1090.825817	632.982112	797.277299	271.864409	245.805922	285.550733	354.943619	346.311027	324.398649	2.408801552	1.88E-12	1.104941197	0.032898301
RUMHYD_02396	fig|476272.21.peg.1830	EEG48679	Rubredoxin	6663.80033	3021.091272	3998.864007	1198.316349	1268.206288	945.839094	85.455283	353.258284	191.784874	2.915547661	2.86E-12	-2.023961646	0.000623381
RUMHYD_01112	fig|476272.21.peg.2457	EEG49980	Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)	73.214104	67.99895	59.295861	580.688252	2850.530844	2490.088593	132.991046	295.907858	142.206457	-4.176730723	3.04E-12	-2.706692277	5.72E-05
RUMHYD_02603	fig|476272.21.peg.731	EEG48503	LSU ribosomal protein L20p	2405.628312	3368.502849	3673.388789	541.647685	247.206632	723.268209	229.303187	497.35754	325.87255	3.595595406	3.24E-12	0.037678832	0.965820419
RUMHYD_03826	fig|476272.21.peg.510	EEG47306	N-acetylmannosamine kinase (EC 2.7.1.60)	1.964366	3.905742	2.330322	40.224552	192.413873	155.784752	4.466918	5.100173	3.269641	-4.69646792	3.69E-12	-4.235551094	8.38E-08
RUMHYD_03253	fig|476272.21.peg.1379	EEG47877	hypothetical protein	0.308933	0.087259	0.03278	8.948772	5.181805	7.101856	1.450275	4.952672	20.942123	-4.966186879	3.77E-12	0.725664487	0.431552363
RUMHYD_00325	fig|476272.21.peg.3332	EEG50712	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	350.855789	311.066478	348.278962	3023.283392	2447.602322	2820.522186	227.019194	534.287005	240.754079	-2.272825721	4.21E-12	-2.36113533	4.34E-06
RUMHYD_01103	fig|476272.21.peg.2448	EEG49971	hypothetical protein	220.503436	118.75427	141.891346	2693.990543	1281.542923	2065.017928	118.544925	159.22305	126.692943	-2.857499653	5.18E-12	-3.186691936	1.21E-10
RUMHYD_00462	fig|476272.21.peg.3468	EEG50586	"Nickel ABC transporter, substrate-binding protein NikA (TC 3.A.1.5.3)"	1.214698	0.77161	1.133893	10.389704	15.642494	19.380494	1.83892	1.202398	16.788644	-3.174485732	5.74E-12	-0.826734371	0.379300716
RUMHYD_02829	fig|476272.21.peg.961	EEG48289	hypothetical protein	1462.425192	524.789139	613.049436	173.119633	37.341333	33.612023	164.144213	131.234416	231.285809	4.499379742	6.00E-12	1.76266505	0.026933406
RUMHYD_00047	fig|476272.21.peg.3053	EEG50990	Hemolysins and related proteins containing CBS domains	4031.355212	5071.549586	4354.332167	1112.367798	398.157619	928.216103	72.085881	137.823079	62.098829	3.249954151	8.06E-12	-2.402884432	3.76E-05
RUMHYD_01421	fig|476272.21.peg.2771	EEG49608	"Transcriptional regulator, AcrR family"	237.712839	120.762962	162.062967	54.098472	47.732006	54.832279	33.915528	56.043335	61.074442	2.496193528	8.17E-12	0.556932534	0.292351768
RUMHYD_00178	fig|476272.21.peg.3184	EEG50884	GALNS arylsulfatase regulator (Fe-S oxidoreductase)	1.972738	1.772308	1.35365	24.001288	17.386804	29.077832	3.104028	6.260323	27.426313	-3.027069776	1.15E-11	-0.540789766	0.51229538
RUMHYD_00015	fig|476272.21.peg.3022	EEG50958	Two-component system sensor histidine kinase	3.319907	5.569829	2.698145	70.817708	65.49732	80.109014	0.735339	4.524318	6.294649	-3.351522658	1.34E-11	-3.834315438	1.84E-08
