id	name	metabolites	compartments	annotation	reversibility
10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	{'10fthf_c': -1.0, '10fthf_m': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94672'}	True
10FTHFtx	10-Formyltetrahydrofolate glyoxysomal transport via diffusion	{'10fthf_c': -1.0, '10fthf_x': 1.0}	{'C_x', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94672'}	True
10M3HDHL	10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase	{'10m3uACP_c': -1.0, '10mtu2eACP_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10M3OACPO	10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase	{'3oddecACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '3hoddecACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10M3OUO	10-methyl-3-oxo-undecanoyl-ACP NADP oxidoreductase	{'10m3ouACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '10m3uACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10MDOD	10-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating	{'10mdACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0, '123oxtACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10MTDAO	10-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific	{'10mtd2eACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '10mdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10MTU2A	10-methyl-trans-undec-2-enoyl-ACP NAD oxidoreductase A-specific	{'10mtu2eACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '10muACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
10MUAM	10-methyl-undecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating	{'10muACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0, '12m3otACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
11DOCRTSLte	Transport of 11-Deoxycortisol, Extracellular	{'11docrtsl_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '11docrtsl_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
11DOCRTSLtm	11-deoxycortisol intracellular transport	{'11docrtsl_c': -1.0, '11docrtsl_m': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94673'}	True
11DOCRTSLtr	11-deoxycortisol intracellular transport	{'11docrtsl_c': -1.0, '11docrtsl_r': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94673'}	True
11DOCRTSTRNte	Transport of 11-Deoxycorticosterone, Extracellular	{'11docrtstrn_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '11docrtstrn_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
11DOCRTSTRNtm	11-deoxycorticosterone intracellular transport	{'11docrtstrn_c': -1.0, '11docrtstrn_m': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94674'}	True
11DOCRTSTRNtr	11-deoxycorticosterone intracellular transport	{'11docrtstrn_c': -1.0, '11docrtstrn_r': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94674'}	True
11M3ODO	11-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase	{'11m3odACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '11m3hdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
11MDAMCA	11-methyl-dodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating	{'11mdACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0, '13m3otdACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
11MHDOD	11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase	{'11m3hdACP_c': -1.0, '11mtdeACP_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
11MTRDOC	11-methyl-trans-dodec-2-enoyl-ACP NAD oxidoreductase A-specific	{'11mtdeACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '11mdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	{'12dgr120_p': -1.0, '12dgr120_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94675'}	True
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	{'12dgr140_p': -1.0, '12dgr140_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94676'}	True
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	{'12dgr141_p': -1.0, '12dgr141_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94677'}	True
12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	{'12dgr160_p': -1.0, '12dgr160_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94678'}	True
12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	{'12dgr161_p': -1.0, '12dgr161_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94679'}	True
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	{'12dgr180_p': -1.0, '12dgr180_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94680'}	True
12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	{'12dgr181_p': -1.0, '12dgr181_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94681'}	True
12DGRter	12dgr LM transport	{'12dgr_LM_c': -1.0, '12dgr_LM_r': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12DGRtm	12dgr LM transport	{'12dgr_LM_c': -1.0, '12dgr_LM_m': 1.0}	{'C_m', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12DHCHOLabc	12-Dehydrocholic acid ABC bile acid transporter	{'12dhchol_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '12dhchol_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12DHCHOLt	12-Dehydrocholic acid transport via bicarbonate countertransport	{'12dhchol_e': -1.0, 'hco3_c': -1.0, '12dhchol_c': 1.0, 'hco3_e': 1.0}	{'C_c', 'C_e'}	{'sbo': 'SBO:0000185'}	True
12DHCHOLt2	12-Dehydrocholic acid transport via sodium cotransport	{'12dhchol_e': -1.0, 'na1_e': -2.0, '12dhchol_c': 1.0, 'na1_c': 2.0}	{'C_c', 'C_e'}	{'sbo': 'SBO:0000185'}	True
12HARACHDte	Transport of 12 Hydroxy Arachidonic Acid, Extracellular Space, Active Transport	{'12harachd_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '12harachd_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12HARACHDtr	Transport of 12 Hydroxy Arachidonic Acid, Endoplasmatic Reticulum, Active Transport	{'12harachd_r': -1.0, 'atp_r': -1.0, 'h2o_r': -1.0, '12harachd_c': 1.0, 'adp_r': 1.0, 'h_r': 1.0, 'pi_r': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12HPETATP	Transport of 12-Hydroperoxyeicosa-5, 8, 10, 14-Tetraenoate, by FATP	{'12HPET_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '12HPET_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12HPETUPKt	Transport of 12-Hydroperoxyeicosa-5, 8, 10, 14-Tetraenoate, by Diffusion	{'12HPET_e': -1.0, '12HPET_c': 1.0}	{'C_c', 'C_e'}	{'sbo': 'SBO:0000185'}	True
12HTACRhr	Oxidation of tacrolimus in hepatocytes	{'h_r': -1.0, 'nadph_r': -1.0, 'o2_r': -1.0, 'tacr_r': -1.0, '12htacr_r': 1.0, 'h2o_r': 1.0, 'nadp_r': 1.0}	{'C_r'}	{'sbo': 'SBO:0000176'}	True
12HTACRitr	12HTACRitr	{'12htacr_r': -1.0, '12htacr_c': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12HTACRtep	Exit of 12-hydroxy tacrolimus into portal blood	{'12htacr_c': -1.0, '12htacr_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12HTACRtu	Efflux of 12-hydroxy tacrolimus into intestinal lumen by ABC transporter	{'12htacr_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '12htacr_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12M3HTDH	12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	{'12m3htdACP_c': -1.0, '12methtetdec2_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12M3HTHL	12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase	{'12mdhtACP_c': -1.0, '12mtt2eACP_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12M3OXOT	12-methyl-3-oxo-tridecanoyl-ACP NADP oxidoreductase	{'12m3otACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '12mdhtACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12M3TDA	12-methyl-3-oxo-tetra-decanoyl-ACP NADP oxidoreductase	{'123oxtACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '12m3htdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG160	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C16 0)	{'12dgr160_c': -1.0, 'udpg_c': -1.0, '12mgdg160_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG161	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C16 1)	{'12dgr161_c': -1.0, 'udpg_c': -1.0, '12mgdg161_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG180	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 0)	{'12dgr180_c': -1.0, 'udpg_c': -1.0, '12mgdg180_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG181	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 1)	{'12dgr181_c': -1.0, 'udpg_c': -1.0, '12mgdg181_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG181_9	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 1)	{'12dgr181_9_c': -1.0, 'udpg_c': -1.0, '12mgdg181_9_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG182_9_12	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 2)	{'12dgr182_9_12_c': -1.0, 'udpg_c': -1.0, '12mgdg182_9_12_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG183_6_9_12	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 3)	{'12dgr183_6_9_12_c': -1.0, 'udpg_c': -1.0, '12mgdg183_6_9_12_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG183_9_12_15	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 3)	{'12dgr183_9_12_15_c': -1.0, 'udpg_c': -1.0, '12mgdg183_9_12_15_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MGDG184_6_9_12_15	UDPglucose:1,2-diacylglycerol 3-beta-D-glucosyltransferase (n-C18 4)	{'12dgr184_6_9_12_15_c': -1.0, 'udpg_c': -1.0, '12mgdg184_6_9_12_15_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MTACPM	12-methyl-tridecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating	{'12mtACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0, '14m3opACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12MTT2E	12-methyl-trans-tridec-2-enoyl-ACP NAD oxidoreductase A-specific	{'12mtt2eACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '12mtACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12PPDRDH	R Propane 1 2 diol dehydratase	{'12ppd__R_c': -1.0, 'h2o_c': 1.0, 'ppal_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR94682'}	True
12PPDRte	Assumed Passive Diffusion into Extracellular Space	{'12ppd__R_c': -1.0, '12ppd__R_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	{'12ppd__R_e': -1.0, '12ppd__R_p': 1.0}	{'C_p', 'C_e'}	{'sbo': 'SBO:0000185', 'biocyc': 'META:TRANS-RXN0-467', 'metanetx.reaction': 'MNXR94683', 'seed.reaction': ['rxn07919', 'rxn07920']}	True
12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	{'12ppd__R_p': -1.0, '12ppd__R_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'biocyc': 'META:TRANS-RXN0-467', 'metanetx.reaction': 'MNXR94683', 'seed.reaction': ['rxn07919', 'rxn07920']}	True
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	{'12ppd__S_e': -1.0, '12ppd__S_p': 1.0}	{'C_p', 'C_e'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94684'}	True
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)	{'12ppd__S_p': -1.0, '12ppd__S_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94684'}	True
12PPDt	S-Propane-1,2-diol facilitated transport	{'12ppd__S_e': -1.0, '12ppd__S_c': 1.0}	{'C_c', 'C_e'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94684'}	True
12TTACA	12-methyl-trans-tetra-dec-2-enoyl-ACP NAD oxidoreductase A-specific	{'12methtetdec2_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '12methedec_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
12dgr2_ST	Membrane 1-2-diacylglycerol composition based on http://www.biomedcentral.com/1752-0509/3/38	{'12dgr140_p': -14.0, '12dgr160_p': -76.0, '12dgr161_p': -4.0, '12dgr180_p': -2.0, '12dgr181_p': -3.0, '12dgr2_ST_p': 2.0}	{'C_p'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR94685'}	True
1331TAALThr	Demethylation of 13-O-desmethyl-tacrolimus to 13,31-O-Didesmethyl-tacrolimus in hepatocytes	{'13dmt_r': -1.0, 'ahcys_r': -1.0, 'h_r': -1.0, '1331tacr_r': 1.0, 'amet_r': 1.0}	{'C_r'}	{'sbo': 'SBO:0000176'}	True
1331TACRhr	Demethylation of 31-O-desmethyl-tacrolimus to 13,31-O-Didesmethyl-tacrolimus in hepatocytes	{'31dmt_r': -1.0, 'ahcys_r': -1.0, 'h_r': -1.0, '1331tacr_r': 1.0, 'amet_r': 1.0}	{'C_r'}	{'sbo': 'SBO:0000176'}	True
1331TACRteb	Efflux of 13,31-O-Didesmethyl-tacrolimus into bile	{'1331tacr_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '1331tacr_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
1331TACRtev	Exit of 13,31-O-Didesmethyl-tacrolimus into hepatic vein	{'1331tacr_c': -1.0, '1331tacr_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13BGH	Endo 1 3 beta glucan glucohydrase	{'13BDglcn_c': -1.0, 'h2o_c': -1.0, 'glc__D_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR94686'}	True
13BGHe	Exo 1 3 beta glucan glucohydrase	{'13BDglcn_e': -1.0, 'h2o_e': -1.0, 'glc__D_e': 1.0}	{'C_e'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR94686'}	True
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	{'13dampp_c': -1.0, 'h2o_c': -1.0, 'o2_c': -1.0, 'bamppald_c': 1.0, 'h2o2_c': 1.0, 'nh4_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR94687'}	True
13DAMPPabcpp	1 3 diaminopromane transport via ABC system  periplasm	{'13dampp_p': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '13dampp_c': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13DAMPPte	Facilitated Diffusion Through Uniport Octs Transporters into Extracellular Space	{'13dampp_c': -1.0, '13dampp_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13DAMPPtex	1 3 Diaminopropane transport via diffusion  extracellular to periplasm	{'13dampp_e': -1.0, '13dampp_p': 1.0}	{'C_p', 'C_e'}	{'sbo': 'SBO:0000185'}	True
13DMThr	Demthylation of tacrolimus to 13-O-desmethyl tacrolimus in hepatocytes	{'ahcys_r': -1.0, 'h_r': -1.0, 'tacr_r': -1.0, '13dmt_r': 1.0, 'amet_r': 1.0}	{'C_r'}	{'sbo': 'SBO:0000176'}	True
13DMTitr	13DMTitr	{'13dmt_r': -1.0, '13dmt_c': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13DMTtep	Exit of 13-O-desmethyl tacrolimus into portal blood	{'13dmt_c': -1.0, '13dmt_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13DMTtu	Efflux of 13-O-desmethyl tacrolimus into intestinal lumen by ABC transporter	{'13dmt_c': -1.0, 'atp_c': -1.0, 'h2o_c': -1.0, '13dmt_e': 1.0, 'adp_c': 1.0, 'h_c': 1.0, 'pi_c': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13DPGtg	Cytoplasm2glycosome,13dpg	{'13dpg_x': -1.0, '13dpg_c': 1.0}	{'C_x', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13GS	1 3 beta glucan synthase	{'udpg_c': -1.0, '13BDglcn_c': 1.0, 'h_c': 1.0, 'udp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR142608'}	True
13HODEOR	13-HODE:NAD oxidoreductase	{'13Shocdcy1829Z11Ea_c': -1.0, 'nad_c': -1.0, '13oocdcy1829Z11Ea_c': 1.0, 'h_c': 1.0, 'nadh_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'ec-code': '1.1.1.-', 'metanetx.reaction': 'MNXR142609', 'kegg.reaction': 'R07058', 'seed.reaction': 'rxn04864'}	True
13HPODEDH	13-HPODE dehydratase	{'13Shpocdcy1829Z11Ea_c': -1.0, 'h_c': -2.0, '13Shocdcy1829Z11Ea_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'metanetx.reaction': 'MNXR142610'}	True
13HTACRitr	13HTACRitr	{'1331tacr_r': -1.0, '1331tacr_c': 1.0}	{'C_r', 'C_c'}	{'sbo': 'SBO:0000185'}	True
13M3HTDAHL	13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase	{'13m3htdACP_c': -1.0, '13mttd2eACP_c': 1.0, 'h2o_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13M3OTDAO	13-methyl-3-oxo-tetra-decanoyl-ACP NADP oxidoreductase	{'13m3otdACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '13m3htdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13MTDAM	13-methyl-tetra-decanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating	{'13mtdACP_c': -1.0, 'h_c': -1.0, 'malACP_c': -1.0, '15m3ohdACP_c': 1.0, 'ACP_c': 1.0, 'co2_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13MTTDAO	13-methyl-trans-tetra-dec-2-enoyl-ACP NAD oxidoreductase A-specific	{'13mttd2eACP_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '13mtdACP_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13PPDH	1,3-propanediol dehydrogenase	{'3hppnl_c': -1.0, 'h_c': -1.0, 'nadh_c': -1.0, '13ppd_c': 1.0, 'nad_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176', 'ec-code': '1.1.1.202', 'rhea': ['23188', '23189', '23190', '23191'], 'biocyc': 'META:13-PROPANEDIOL-DEHYDROGENASE-RXN', 'metanetx.reaction': 'MNXR94691', 'kegg.reaction': 'R03119', 'seed.reaction': 'rxn02235'}	True
13PPDH2	1,3-propanediol dehydrogenase	{'3hppnl_c': -1.0, 'h_c': -1.0, 'nadph_c': -1.0, '13ppd_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13PPDH2_1	1,3-propanediol dehydrogenase	{'h_c': -1.0, 'lald__L_c': -1.0, 'nadph_c': -1.0, '13ppd_c': 1.0, 'nadp_c': 1.0}	{'C_c'}	{'sbo': 'SBO:0000176'}	True
13PPDtex	1,3-propanediol transporter via diffusion (extracellular to periplasm)	{'13ppd_e': -1.0, '13ppd_p': 1.0}	{'C_p', 'C_e'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94692'}	True
13PPDtpp	1,3-propanediol transporter (facilitated diffusion, periplasm)	{'13ppd_p': -1.0, '13ppd_c': 1.0}	{'C_p', 'C_c'}	{'sbo': 'SBO:0000185', 'metanetx.reaction': 'MNXR94692'}	True
13_CIS_RETNte	Transport of 13-Cis-Retinoate	{'13_cis_retn_c': -1.0, '13_cis_retn_e': 1.0}	{'C_e', 'C_c'}	{'sbo': 'SBO:0000185'}	True
14DENLIPIDAt1ex	diphosphoethanolamine lipid IVa transport via vector periplasm to extracellular	{'14denlipidA_p': -1.0, 'LptA_p': -1.0, '14denlipidA_LptA_p': 1.0}	{'C_p'}	{'sbo': 'SBO:0000176'}	True
